emoji,ten_emoji,so_lan_xuat_hien,phan_tram,so_review_chua
🥰,smiling face with hearts,81,4.28,62
🤣,rolling on the floor laughing,73,3.86,57
😂,face with tears of joy,71,3.75,53
❤️,red heart,70,3.7,46
👍,thumbs up,67,3.54,44
😅,grinning face with sweat,50,2.64,38
🥲,smiling face with tear,48,2.54,40
🥹,face holding back tears,47,2.48,37
🤤,drooling face,45,2.38,31
⭐,star,45,2.38,25
😋,face savoring food,44,2.32,40
😆,grinning squinting face,39,2.06,30
👍🏻,thumbs up light skin tone,37,1.95,20
🌟,glowing star,37,1.95,14
😍,smiling face with heart-eyes,36,1.9,33
💯,hundred points,34,1.8,33
✅,check mark button,28,1.48,16
🫶,heart hands,27,1.43,17
🫶🏻,heart hands light skin tone,26,1.37,22
😁,beaming face with smiling eyes,26,1.37,22
😭,loudly crying face,25,1.32,19
✨,sparkles,24,1.27,19
🙂,slightly smiling face,22,1.16,21
👉,backhand index pointing right,22,1.16,21
💰,money bag,21,1.11,20
🔥,fire,21,1.11,15
🍜,steaming bowl,21,1.11,20
📌,pushpin,20,1.06,11
📍,round pushpin,20,1.06,17
☺️,smiling face,17,0.9,14
😊,smiling face with smiling eyes,17,0.9,11
✔️,check mark,15,0.79,7
💕,two hearts,14,0.74,13
😀,grinning face,14,0.74,12
🥺,pleading face,13,0.69,11
😄,grinning face with smiling eyes,12,0.63,11
😘,face blowing a kiss,12,0.63,8
🌿,herb,11,0.58,8
🍲,pot of food,11,0.58,11
🤭,face with hand over mouth,10,0.53,8
🤩,star-struck,10,0.53,6
🍽️,fork and knife with plate,10,0.53,8
💖,sparkling heart,9,0.48,7
👌,OK hand,9,0.48,9
🔸,small orange diamond,9,0.48,2
♀️,female sign,8,0.42,6
😌,relieved face,8,0.42,7
🏡,house with garden,8,0.42,8
💸,money with wings,8,0.42,8
🥩,cut of meat,8,0.42,7
😑,expressionless face,7,0.37,5
😳,flushed face,7,0.37,7
🐠,tropical fish,7,0.37,6
♥️,heart suit,7,0.37,7
🥗,green salad,7,0.37,6
😡,enraged face,7,0.37,4
👏,clapping hands,7,0.37,7
🍣,sushi,7,0.37,7
💵,dollar banknote,7,0.37,7
🏠,house,7,0.37,7
🙏,folded hands,6,0.32,3
❣️,heart exclamation,6,0.32,2
😃,grinning face with big eyes,6,0.32,6
😇,smiling face with halo,6,0.32,5
🌶,hot pepper,6,0.32,1
🇻🇳,Vietnam,6,0.32,5
🍳,cooking,5,0.26,5
🍗,poultry leg,5,0.26,5
😉,winking face,5,0.26,5
😤,face with steam from nose,5,0.26,2
🤡,clown face,5,0.26,5
💗,growing heart,5,0.26,3
😚,kissing face with closed eyes,5,0.26,5
♂️,male sign,5,0.26,5
🐟,fish,5,0.26,5
😙,kissing face with smiling eyes,5,0.26,4
⏰,alarm clock,5,0.26,5
🤗,smiling face with open hands,5,0.26,5
😝,squinting face with tongue,5,0.26,3
👌🏻,OK hand light skin tone,5,0.26,2
💁,person tipping hand,4,0.21,4
💓,beating heart,4,0.21,2
😗,kissing face,4,0.21,2
🫰,hand with index finger and thumb crossed,4,0.21,4
🩷,pink heart,4,0.21,4
🥬,leafy green,4,0.21,4
😢,crying face,4,0.21,4
😓,downcast face with sweat,4,0.21,4
🤯,exploding head,4,0.21,3
😎,smiling face with sunglasses,4,0.21,3
🍖,meat on bone,4,0.21,4
🌸,cherry blossom,4,0.21,3
🫠,melting face,4,0.21,4
❌,cross mark,4,0.21,4
🤨,face with raised eyebrow,4,0.21,4
😔,pensive face,4,0.21,3
🤮,face vomiting,4,0.21,2
🐂,ox,4,0.21,2
🔍,magnifying glass tilted left,3,0.16,1
🙄,face with rolling eyes,3,0.16,2
🙌,raising hands,3,0.16,3
📝,memo,3,0.16,3
😮,face with open mouth,3,0.16,2
💨,dashing away,3,0.16,2
👨,man,3,0.16,3
🧀,cheese wedge,3,0.16,3
🆘,SOS button,3,0.16,2
☘️,shamrock,3,0.16,1
🌶️,hot pepper,3,0.16,3
🌈,rainbow,3,0.16,2
✌️,victory hand,3,0.16,3
😵,face with crossed-out eyes,3,0.16,2
💫,dizzy,3,0.16,2
🥢,chopsticks,3,0.16,3
🤢,nauseated face,3,0.16,1
🍴,fork and knife,3,0.16,3
↕️,up-down arrow,3,0.16,2
💚,green heart,3,0.16,2
🥳,partying face,3,0.16,3
💐,bouquet,3,0.16,3
👎,thumbs down,3,0.16,2
🧍,person standing,3,0.16,1
💥,collision,3,0.16,3
🌱,seedling,3,0.16,3
🤟🏻,love-you gesture light skin tone,3,0.16,1
😒,unamused face,3,0.16,2
🚗,automobile,2,0.11,2
🐚,spiral shell,2,0.11,2
😜,winking face with tongue,2,0.11,2
❗,red exclamation mark,2,0.11,2
🍰,shortcake,2,0.11,2
🍋,lemon,2,0.11,2
💞,revolving hearts,2,0.11,1
🙏🏽,folded hands medium skin tone,2,0.11,2
🌹,rose,2,0.11,1
🤪,zany face,2,0.11,2
👏🏻,clapping hands light skin tone,2,0.11,2
🫨,shaking face,2,0.11,2
🙏🏻,folded hands light skin tone,2,0.11,2
🥇,1st place medal,2,0.11,2
💘,heart with arrow,2,0.11,2
🦐,shrimp,2,0.11,2
💬,speech balloon,2,0.11,2
😶,face without mouth,2,0.11,2
🙃,upside-down face,2,0.11,2
😛,face with tongue,2,0.11,2
🧏🏻,deaf person light skin tone,2,0.11,2
🛵,motor scooter,2,0.11,2
😱,face screaming in fear,2,0.11,2
🤌,pinched fingers,2,0.11,2
🐔,chicken,2,0.11,2
🅾️,O button (blood type),2,0.11,1
🌧️,cloud with rain,2,0.11,2
🤟,love-you gesture,2,0.11,2
😨,fearful face,2,0.11,2
🇹🇭,Thailand,2,0.11,2
🤵🏻,person in tuxedo light skin tone,2,0.11,2
🗿,moai,2,0.11,2
👎🏻,thumbs down light skin tone,2,0.11,2
🍥,fish cake with swirl,2,0.11,2
🙋,person raising hand,2,0.11,2
🌷,tulip,2,0.11,2
💃,woman dancing,2,0.11,1
🙌🏻,raising hands light skin tone,2,0.11,2
🙆,person gesturing OK,2,0.11,2
🦑,squid,2,0.11,2
🌾,sheaf of rice,2,0.11,2
⏳,hourglass not done,2,0.11,2
😫,tired face,2,0.11,1
🫶🏼,heart hands medium-light skin tone,2,0.11,2
👀,eyes,2,0.11,2
🎤,microphone,1,0.05,1
🙆🏻,person gesturing OK light skin tone,1,0.05,1
💋,kiss mark,1,0.05,1
🔟,keycap 10,1,0.05,1
🥂,clinking glasses,1,0.05,1
🥤,cup with straw,1,0.05,1
🟩,green square,1,0.05,1
🐙,octopus,1,0.05,1
🥫,canned food,1,0.05,1
🫣,face with peeking eye,1,0.05,1
🫶🏿,heart hands dark skin tone,1,0.05,1
🏝️,desert island,1,0.05,1
🍯,honey pot,1,0.05,1
🍤,fried shrimp,1,0.05,1
🥴,woozy face,1,0.05,1
🇰🇷,South Korea,1,0.05,1
🚻,restroom,1,0.05,1
🚶,person walking,1,0.05,1
😦,frowning face with open mouth,1,0.05,1
🤷,person shrugging,1,0.05,1
🚚,delivery truck,1,0.05,1
📦,package,1,0.05,1
⏱️,stopwatch,1,0.05,1
😰,anxious face with sweat,1,0.05,1
🩵,light blue heart,1,0.05,1
‼️,double exclamation mark,1,0.05,1
🤲,palms up together,1,0.05,1
🤓,nerd face,1,0.05,1
🍽,fork and knife with plate,1,0.05,1
🗺,world map,1,0.05,1
👯,people with bunny ears,1,0.05,1
😖,confounded face,1,0.05,1
🥥,coconut,1,0.05,1
🎀,ribbon,1,0.05,1
🫤,face with diagonal mouth,1,0.05,1
😣,persevering face,1,0.05,1
🔜,SOON arrow,1,0.05,1
🐰,rabbit face,1,0.05,1
🛋️,couch and lamp,1,0.05,1
🍧,shaved ice,1,0.05,1
🍚,cooked rice,1,0.05,1
🥚,egg,1,0.05,1
😐,neutral face,1,0.05,1
🤠,cowboy hat face,1,0.05,1
🤬,face with symbols on mouth,1,0.05,1
🥵,hot face,1,0.05,1
🫰🏻,hand with index finger and thumb crossed light skin tone,1,0.05,1
📸,camera with flash,1,0.05,1
🤞,crossed fingers,1,0.05,1
💛,yellow heart,1,0.05,1
♾️,infinity,1,0.05,1
👌🏼,OK hand medium-light skin tone,1,0.05,1
🥶,cold face,1,0.05,1
🇱🇦,Laos,1,0.05,1
✍🏻,writing hand light skin tone,1,0.05,1
🍭,lollipop,1,0.05,1
🙀,weary cat,1,0.05,1
👏🏼,clapping hands medium-light skin tone,1,0.05,1
🍛,curry rice,1,0.05,1
✋🏻,raised hand light skin tone,1,0.05,1
💦,sweat droplets,1,0.05,1
💌,love letter,1,0.05,1
😻,smiling cat with heart-eyes,1,0.05,1
🍱,bento box,1,0.05,1
🤍,white heart,1,0.05,1
⚠️,warning,1,0.05,1
🍍,pineapple,1,0.05,1
🫡,saluting face,1,0.05,1
🌚,new moon face,1,0.05,1
🤎,brown heart,1,0.05,1
🖼️,framed picture,1,0.05,1
👩🏻,woman light skin tone,1,0.05,1
🌽,ear of corn,1,0.05,1
🥘,shallow pan of food,1,0.05,1
👧,girl,1,0.05,1
⬆️,up arrow,1,0.05,1
🥟,dumpling,1,0.05,1
💧,droplet,1,0.05,1
🥦,broccoli,1,0.05,1
😥,sad but relieved face,1,0.05,1
💪,flexed biceps,1,0.05,1
🍒,cherries,1,0.05,1
➖,minus,1,0.05,1
🍻,clinking beer mugs,1,0.05,1
👅,tongue,1,0.05,1
🌰,chestnut,1,0.05,1
🥭,mango,1,0.05,1
🎨,artist palette,1,0.05,1
🍀,four leaf clover,1,0.05,1
🎉,party popper,1,0.05,1
😞,disappointed face,1,0.05,1
⁉️,exclamation question mark,1,0.05,1
💲,heavy dollar sign,1,0.05,1
🙋🏼,person raising hand medium-light skin tone,1,0.05,1
🏜️,desert,1,0.05,1
👉🏻,backhand index pointing right light skin tone,1,0.05,1
🍝,spaghetti,1,0.05,1
📷,camera,1,0.05,1
💔,broken heart,1,0.05,1
💝,heart with ribbon,1,0.05,1
🐓,rooster,1,0.05,1
🌍,globe showing Europe-Africa,1,0.05,1
🏦,bank,1,0.05,1
▶️,play button,1,0.05,1
🪐,ringed planet,1,0.05,1
🕰️,mantelpiece clock,1,0.05,1
🤧,sneezing face,1,0.05,1
📖,open book,1,0.05,1
🧂,salt,1,0.05,1
🍵,teacup without handle,1,0.05,1
❤,red heart,1,0.05,1
