N-gram,Tần suất,Dịch
ok,1599,okay
banchan,483,banchan
sushi,316,sushi
sashimi,258,sashimi
combo,248,combo
tomyum,206,tomyum
decor,159,decor
tokbokki,147,tokbokki
udon,128,udon
ramen,116,ramen
kimchi,96,kimchi
is,94,is
hòa,67,hòa
tiktok,66,tiktok
kimbap,65,kimbap
miso,64,miso
tùy,63,tuỳ
bbq,60,bbq
tempura,53,tempura
hihi,53,hihi
vibe,51,vibe
mandu,50,mandu
yum,50,yum
busan,50,busan
google,48,google
it,47,it
of,43,of
cafe,43,cafe
up,41,up
vnđ,41,Việt Nam Đồng
gogi,40,gogi
matcha,38,matcha
hóa,37,hóa
wc,33,water closet
michelin,32,michelin
gg,32,google
ah,31,à
wifi,28,wifi
okay,28,okay
facebook,27,facebook
huhu,27,huhu
recommended,26,recommended
bulgogi,25,bulgogi
khỏe,25,khỏe
seoul,23,seoul
mini,23,mini
haha,23,haha
kichi,23,kichi
saigon,22,sài gòn
mama,20,mama
teriyaki,19,teriyaki
haru,19,haru
tủy,18,tuỷ
bitexco,17,bitexco
cari,17,cari
vincom,17,vincom
izakaya,16,izakaya
haidilao,16,haidilao
qr,15,mã qr
seeding,14,seeding
dimsum,13,dimsum
pm,13,private message
or,13,hoặc
pepsi,13,pepsi
takoyaki,13,takoyaki
we,13,we
vien,13,viên
ka,13,karai
if,12,if
maps,12,maps
online,12,online
chivago,12,chivago
matchandeul,12,matchandeul
youtube,12,youtube
kk,12,kk
mochi,12,mochi
soba,12,soba
morico,11,morico
hanmaeum,11,hanmaeum
tiktoker,10,tiktoker
thỏa,10,thỏa
fanpage,10,fanpage
osaka,10,osaka
ph,10,phường
as,10,á
vv,9,vân vân
chiyoda,9,chiyoda
gthieu,9,giới thiệu
khóa,9,khóa
vietnamesefood,9,vietnamese food
bingsu,9,bingsu
hanuri,9,hanuri
tòa,9,tòa
doran,9,doran
soju,8,soju
kobe,8,kobe
kohaku,8,kohaku
inox,8,inox
ovenmaru,8,ovenmaru
tp,8,thành phố
dungmachphuoc,8,dungmachphuoc
padthai,8,pad thai
zalo,8,zalo
nigiri,8,nigiri
hủy,8,huỷ
shopee,8,shopee
marukame,8,marukame
hancook,8,hancook
bornga,8,bornga
tonkotsu,8,tonkotsu
nhưg,8,nhưng
shushi,8,shushi
hotline,8,hotline
sasimi,8,sasimi
tọa,8,tọa
kum,7,kum
chaud,7,chaud
yaourt,7,yaourt
ps,7,postscript
okiela,7,okiela
constancereportfood,7,constancereportfood
wagyu,7,wagyu
koh,7,koh
ak,7,ạ
korea,7,korea
okla,7,okela
kimpap,7,kimpap
thủy,7,thuỷ
hk,7,không
bv,7,bệnh viện
panacota,7,panacota
hongkong,7,hong kong
hokkaido,7,hokkaido
galbi,7,galbi
vd,7,ví dụ
bonchon,7,bonchon
hagstag,7,hagstag
nt,7,nhắn tin
dj,7,disc jockey
dookki,7,dookki
at,7,at
siuu,7,siuu
joseon,7,joseon
dv,7,dịch vụ
omg,6,oh my god
manmaru,6,manmaru
sach,6,sach
hbbq,6,hbbq
karai,6,karai
somtum,6,somtum
secc,6,secc
nuớc,6,nước
gr,6,group
toptop,6,toptop
trl,6,trả lời
kfc,6,kfc
xx,6,xx
châ,6,châ
ngêu,6,ngêu
tojy,6,tojy
seafood,6,seafood
fai,6,phải
thich,6,thich
kpop,6,kpop
singapore,6,singapore
vani,6,vani
ns,6,nói
inbox,6,inbox
ctkm,6,chương trình khuyến mãi
tm,6,thương mại
ngol,6,ngon
tonkatsu,6,tonkatsu
cbi,6,chuẩn bị
parc,6,parc
àh,6,à
yukata,6,yukata
checkin,6,checkin
bh,6,bây giờ
ôtô,5,ôtô
aqn,5,aqn
bf,5,boyfriend
buzza,5,buzza
gyu,5,gyu
champong,5,champong
trainning,5,trainning
đg,5,đang
tks,5,thanks
đii,5,đi
aroi,5,aroi
tl,5,trả lời
pos,5,point of sale
vietnam,5,vietnam
ashima,5,ashima
nươ,5,nước
bik,5,biết
reviews,5,reviews
zô,5,vô
mookata,5,mookata
daeji,5,daeji
alacarte,5,alacarte
dokki,5,dokki
lm,5,làm
logo,5,logo
áa,5,á
vhm,5,vạn hạnh mall
qán,5,quán
tivi,5,tivi
mieng,5,mieng
latte,5,latte
metro,5,metro
mă,5,mắc
xl,5,xin lỗi
ac,5,anh chị
xóa,5,xóa
options,5,options
hơp,5,hợp
shashimi,5,shashimi
jjambbong,5,jjambbong
ji,5,ji
cm,5,comment
friends,5,friends
nathalie,5,nathalie
gimbap,5,gimbap
mic,5,microphone
tolet,5,tolet
okk,5,okk
gamjatang,5,gamjatang
nhée,5,nhé
shoyu,5,shoyu
foods,5,foods
kokoria,4,kokoria
pr,4,public relations
nhat,4,nhat
dthg,4,dễ thương
đươ,4,được
thưc,4,thưc
dg,4,đang
lah,4,lah
nhenn,4,nhen
mojito,4,mojito
ik,4,đi
ikigai,4,ikigai
trg,4,trong
taka,4,taka
họa,4,họa
iuu,4,yêu
grap,4,grap
kp,4,không phải
kisu,4,kisu
niboshi,4,niboshi
nilon,4,nilon
tôt,4,tốt
fanta,4,fanta
jjamppong,4,jjamppong
pasta,4,pasta
sl,4,số lượng
nilong,4,nilong
niku,4,niku
anw,4,ăn
unatoto,4,unatoto
gunkan,4,gunkan
arirang,4,arirang
nchuyen,4,nói chuyện
uki,4,uki
tỏa,4,tỏa
karaage,4,karaage
huong,4,huong
thien,4,thien
mplaza,4,mplaza
ntp,4,ntp
ôk,4,oke
pana,4,pana
gt,4,giới thiệu
khgian,4,không gian
ew,4,eww
bobae,4,bobae
keke,4,keke
jampong,4,jampong
shige,4,shige
oce,4,oce
hehehe,4,hehehe
lipton,4,lipton
tokboki,4,tokboki
recomment,4,recomment
lowkey,4,lowkey
dandan,4,dandan
soyum,4,soyum
has,4,has
quangchireview,4,quangchireview
suop,4,suop
qay,4,quay
tiramisu,4,tiramisu
yakult,4,yakult
yakitori,4,yakitori
lă,4,lă
ạh,4,ạ
zẻ,4,rẻ
qli,4,quản lý
hanoi,4,hanoi
ziên,4,viên
nữaa,4,nữa
vp,4,văn phòng
lâ,4,lâ
decord,4,decord
lươ,4,lượng
fanta,4,quá
highlands,4,highlands
carbonara,4,carbonara
sakura,4,sakura
tk,4,tài khoản
mìh,3,mình
btw,3,by the way
buffee,3,buffee
bestseller,3,bestseller
kara,3,kara
tomyam,3,tomyam
atiso,3,atiso
karage,3,karage
thailand,3,thailand
maafushi,3,maafushi
bulmakyeolsam,3,bulmakyeolsam
kbiet,3,không biết
kb,3,không biết
chashu,3,chashu
đh,3,đại học
zai,3,zai
satay,3,satay
thaifood,3,thaifood
okii,3,oki
ukila,3,ukila
tokyo,3,tokyo
tưoi,3,tươi
bokkum,3,bokkum
xuo,3,xuo
threads,3,threads
thuc,3,thuc
yc,3,yêu cầu
chx,3,chưa
ggmap,3,ggmap
sieu,3,sieu
nhiê,3,nhiê
gobchang,3,gobchang
pmai,3,phô mai
đâ,3,đâu
gogizip,3,gogizip
cholimex,3,cholimex
nhie,3,nhie
thâ,3,thâ
xitai,3,xitai
onsen,3,onsen
thg,3,thường
bluetooth,3,bluetooth
attp,3,attp
st,3,siêu thị
tobboki,3,tobboki
hêhhe,3,hêhhe
toboki,3,toboki
auth,3,authentic
thươngg,3,thương
pateso,3,pateso
jambon,3,jambon
jajangmyeon,3,jajangmyeon
tv,3,television
okei,3,okei
ncl,3,nói chung là
socola,3,socola
nek,3,nè
mooping,3,mooping
kong,3,kong
haizz,3,haizz
haiz,3,haiz
houjicha,3,houjicha
nyc,3,người yêu cũ
nx,3,nữa
customers,3,customers
samjang,3,samjang
vh,3,văn hóa
caffe,3,caffe
cb,3,chuẩn bị
tastes,3,tastes
ambiance,3,ambiance
nèe,3,nè
mocktail,3,mocktail
deli,3,deli
miê,3,miê
miya,3,miya
dep,3,dep
deco,3,deco
đẹpp,3,đẹp
toppokki,3,toppokki
deth,3,dễ thương
kv,3,khu vực
